fpub;medio;pollster;mpolls;inicampo;fincampo;modo;muestra;pp;podemos;psoe;cs;vox
16/09/2016;Simple Lógica;Simple Lógica;Simple Lógica;01/09/2016;14/09/2016;Telefónica;1046;33,6;20;23,7;12,8;
11/09/2016;ABC;GAD3;GAD3 (ABC);06/09/2016;09/09/2016;Telefónica;802;33,9;20,5;21,1;12,9;
12/09/2016;El País;Metroscopia;Metroscopia (El País);06/09/2016;08/09/2016;Telefónica;1294;34,8;21,1;21,3;12;
11/09/2016;La Sexta;Invymark;Invymark (La Sexta);05/09/2016;05/09/2016;Telefónica;;33,7;20,1;21,8;14;
29/08/2016;eldiario.es;Celeste Tel;Celeste Tel (eldiario.es);22/08/2016;27/08/2016;Telefónica;1100;34;20,9;22,3;12,7;
10/08/2016;Simple Lógica;Simple Lógica;Simple Lógica;01/08/2016;10/08/2016;Telefónica;1049;35,4;21,3;22,8;12,3;
04/09/2016;La Razón;NC Report;NC Report (La Razón);29/08/2016;03/08/2016;Telefónica;1000;34,8;20,7;22,4;12,1;
25/07/2016;La Razón;NC Report;NC Report (La Razón);18/07/2016;25/07/2016;Telefónica;1000;34,1;21;22,2;12,3;
15/07/2016;Simple Lógica;Simple Lógica;Simple Lógica;01/07/2016;15/07/2016;Telefónica;1033;33,5;21,6;22,3;14,1;
01/08/2016;CIS;CIS;CIS;01/07/2016;11/07/2016;Personal;2479;32,5;19,6;23,1;12;
